Date,Sum
2013-04-19,732
2013-04-18,864
2013-09-01,713
2013-04-10,1000
2013-09-03,698
2013-09-02,671
2013-09-05,664
2013-04-14,918
2013-04-17,946
2013-04-16,968
2013-02-13,2430
2013-02-12,3369
2012-09-24,1938
2013-02-10,1925
2012-09-22,1348
2012-09-23,1464
2012-09-20,1809
2013-02-14,5775
2012-12-28,1562
2013-09-08,1
2012-12-29,1397
2013-01-01,1540
2012-09-17,1797
2013-01-03,2150
2013-01-02,2186
2013-01-05,1603
2013-01-04,2039
2013-01-07,2645
2013-07-13,274
2013-01-09,2322
2013-01-08,2381
2013-07-18,388
2012-12-24,1603
2012-12-25,1563
2012-12-22,2368
2012-12-23,1886
2013-04-11,1003
2012-12-20,5807
2012-12-21,5771
2013-04-13,809
2013-03-10,1875
2013-03-11,2267
2013-03-12,2816
2013-03-13,2543
2013-03-14,1783
2013-03-15,1561
2013-03-16,1253
2013-03-17,1407
2013-03-18,1710
2013-03-19,1662
2013-09-04,715
2013-09-07,448
2013-09-06,577
2013-07-16,431
2012-09-30,2142
2013-03-30,2104
2012-12-18,553
2013-08-20,597
2013-08-21,732
2013-08-22,650
2013-08-23,592
2013-08-24,519
2013-08-25,542
2013-08-26,608
2013-08-27,596
2013-08-28,749
2013-08-29,1199
2012-08-03,923
2012-08-02,1101
2012-08-01,1234
2012-08-07,1261
2012-08-06,1092
2012-08-05,768
2012-08-04,668
2012-08-09,1071
2012-08-08,1153
2013-04-12,934
2013-04-15,1098
2012-12-01,597
2012-12-02,618
2012-12-03,1077
2012-12-04,776
2012-12-05,2004
2012-12-06,1107
2012-12-07,857
2012-12-08,819
2012-12-09,921
2012-10-31,1135
2012-10-30,1257
2013-06-30,437
2013-07-19,462
2012-11-29,616
2012-11-28,739
2012-11-27,813
2012-11-26,844
2012-11-25,686
2012-11-24,602
2012-11-23,642
2012-11-22,726
2012-11-21,747
2012-11-20,890
2013-04-28,1013
2013-04-29,1204
2013-04-24,741
2013-04-25,775
2013-04-26,785
2013-04-27,834
2013-04-20,719
2013-04-21,827
2013-04-22,925
2013-04-23,832
2013-05-30,1001
2013-05-31,856
2013-07-14,275
2013-07-09,372
2013-07-08,362
2013-07-15,394
2013-07-03,470
2013-07-02,514
2013-07-01,507
2013-07-07,270
2013-07-06,274
2013-07-05,305
2013-07-04,355
2013-07-17,457
2013-01-30,2953
2013-01-31,3270
2013-07-10,382
2012-08-30,2371
2012-08-31,1749
2013-07-11,397
2013-07-12,333
2013-01-06,1730
2013-03-07,2136
2013-03-06,2845
2013-03-05,2516
2013-03-04,2937
2013-03-03,5036
2013-03-02,1433
2013-03-01,1920
2013-03-09,1533
2013-03-08,1852
2012-11-16,730
2012-11-17,794
2012-11-14,835
2012-11-15,726
2012-11-12,909
2012-11-13,891
2012-11-10,727
2012-11-11,702
2012-11-18,869
2012-11-19,954
2012-09-08,1519
2012-09-09,2001
2012-09-01,1307
2012-09-02,1467
2012-09-03,2016
2012-09-04,3392
2012-09-05,3269
2012-09-06,3033
2012-09-07,1926
2012-10-08,2450
2012-10-09,2296
2012-10-02,2900
2012-10-03,3870
2012-10-01,3009
2012-10-06,1786
2012-10-07,2032
2012-10-04,2621
2012-10-05,2275
2013-08-31,605
2013-08-30,851
2012-07-28,1563
2012-07-29,2365
2012-07-23,5
2012-07-24,4614
2012-07-25,3346
2012-07-26,2191
2012-07-27,1583
2013-07-30,1297
2013-07-31,918
2012-12-17,539
2012-12-16,450
2012-12-15,481
2012-12-14,525
2012-12-13,522
2012-12-12,601
2012-12-11,762
2012-12-10,1043
2012-12-19,1303
2013-03-31,1408
2013-06-01,824
2013-06-02,868
2013-06-03,992
2013-06-04,863
2013-06-05,737
2013-06-06,1241
2013-06-07,1029
2013-06-08,768
2013-06-09,838
2013-02-08,2589
2013-02-09,1757
2013-02-04,3289
2013-02-05,2979
2013-02-06,2496
2013-02-07,2612
2013-02-01,2483
2013-02-02,2583
2013-02-03,2774
2013-04-30,1131
2013-05-29,965
2013-05-28,1014
2013-05-27,962
2013-05-26,817
2013-05-25,881
2013-05-24,950
2013-05-23,1101
2013-05-22,1560
2013-05-21,1571
2013-05-20,1036
2013-08-08,764
2013-08-09,529
2013-08-06,608
2013-08-07,719
2013-08-04,508
2013-08-05,672
2013-08-02,554
2013-08-03,500
2013-08-01,686
2013-01-29,2400
2013-01-28,2763
2013-01-23,8311
2013-01-22,4230
2013-01-21,2556
2013-01-20,2419
2013-01-27,2401
2013-01-26,2031
2013-01-25,2377
2013-01-24,3456
2012-08-29,2420
2012-08-28,2056
2012-08-21,3350
2012-08-20,4079
2012-08-23,2288
2012-08-22,2752
2012-08-25,1372
2012-08-24,1899
2012-08-27,1989
2012-08-26,1666
2013-07-21,398
2013-07-20,377
2013-01-10,2190
2013-01-11,1736
2013-07-25,1484
2013-07-24,438
2012-11-05,1143
2012-11-04,1329
2012-11-07,820
2012-11-06,929
2012-11-01,1077
2013-07-27,834
2012-11-03,1067
2012-11-02,1128
2013-01-15,2994
2012-11-09,761
2012-11-08,726
2012-09-19,1840
2012-09-18,1727
2012-12-26,1956
2012-09-16,1635
2012-09-15,1546
2012-09-14,1907
2012-09-13,2317
2012-09-12,3301
2012-09-11,2638
2012-09-10,1990
2013-05-16,1109
2013-05-17,894
2013-05-14,1320
2013-05-15,1447
2013-05-12,832
2013-05-13,1139
2013-05-10,943
2013-05-11,856
2013-05-18,811
2013-05-19,1001
2012-10-19,2295
2012-10-18,2380
2012-10-11,2356
2012-10-10,2317
2012-10-13,1832
2012-10-12,2093
2012-10-15,6708
2012-10-14,3659
2012-10-17,3083
2012-10-16,4611
2013-04-08,1168
2013-04-09,1014
2013-04-02,1457
2013-04-03,1531
2013-04-01,1568
2013-04-06,991
2013-04-07,1132
2013-04-04,1386
2013-04-05,1207
2012-07-31,1536
2012-07-30,2100
2013-01-12,1390
2013-01-13,1627
2013-07-23,457
2013-07-22,431
2013-01-16,1833
2013-01-17,1867
2013-01-14,1952
2013-07-26,1469
2013-07-29,969
2013-07-28,655
2013-01-18,2183
2013-01-19,1934
2013-03-29,1769
2013-03-28,1288
2013-03-25,1533
2013-03-24,1541
2013-03-27,1513
2013-03-26,1559
2013-03-21,1474
2013-03-20,1633
2013-03-23,1079
2013-03-22,1227
2013-06-17,787
2013-06-16,650
2013-06-15,550
2013-06-14,569
2013-06-13,742
2013-06-12,768
2013-06-11,741
2013-06-10,836
2013-06-19,676
2013-06-18,756
2012-09-26,2354
2012-09-27,2616
2013-02-11,2725
2012-09-25,1802
2013-02-17,2441
2013-02-16,2434
2013-02-15,4409
2012-09-21,1735
2013-02-19,2849
2013-02-18,3028
2012-09-28,2178
2012-09-29,1520
2012-12-27,1826
2013-08-19,534
2013-08-18,467
2013-08-15,529
2013-08-14,502
2013-08-17,441
2013-08-16,517
2013-08-11,426
2013-08-10,420
2013-08-13,585
2013-08-12,521
2012-08-18,5509
2012-08-19,3355
2012-08-14,2199
2012-08-15,1627
2012-08-16,6284
2012-08-17,10073
2012-08-10,894
2012-08-11,836
2012-08-12,2874
2012-08-13,5212
2012-12-31,1196
2012-12-30,1382
2013-05-05,943
2013-05-04,987
2013-05-07,1042
2013-05-06,1178
2013-05-01,1065
2013-05-03,1169
2013-05-02,1063
2013-05-09,959
2013-05-08,1028
2012-11-30,742
2012-10-28,1201
2012-10-29,1423
2012-10-24,1736
2012-10-25,1707
2012-10-26,1200
2012-10-27,1038
2012-10-20,1598
2012-10-21,1842
2012-10-22,2291
2012-10-23,1757
2013-06-28,408
2013-06-29,432
2013-06-26,554
2013-06-27,473
2013-06-24,661
2013-06-25,542
2013-06-22,567
2013-06-23,457
2013-06-20,499
2013-06-21,593
2013-02-28,2129
2013-02-22,2715
2013-02-23,1789
2013-02-20,2926
2013-02-21,3329
2013-02-26,2405
2013-02-27,2828
2013-02-24,1899
2013-02-25,2271
