country,population
af,31108077
al,3011405
ag,38087812
aq,54719
an,85293
ao,18565269
av,15754
ac,90156
ar,42610981
am,2974184
aa,109153
as,22262501
au,8221646
aj,9590159
bf,319031
ba,1281332
bg,163654860
bb,288725
bo,9625888
be,10444268
bh,334297
bn,9877292
bd,69467
bt,725296
bl,10461053
bk,3875723
bc,2127825
br,201009622
vi,31912
bx,415717
bu,6981642
uv,17812961
bm,55167330
by,10888321
cb,15205539
cm,20549221
ca,34568211
cv,531046
cj,53737
ct,5166510
cd,11193452
ci,17216945
ch,1349585838
kt,1513
co,45745783
cn,752288
cg,75507308
cf,4492689
cw,10447
cs,4695942
iv,22400835
hr,4475611
cu,11061886
cy,1155403
ez,10162921
da,5556452
dj,792198
do,73286
dr,10219630
ec,15439429
eg,85294388
es,6108590
ek,704001
er,6233682
en,1266375
et,93877025
fo,49709
fj,896758
fi,5266114
fr,65951611
fp,277293
gb,1640286
ga,1883051
gz,1763387
gg,4555911
gm,81147265
gh,25199609
gi,29111
gr,10772967
gl,57714
gj,109590
gq,160378
gt,14373472
gk,65605
gv,11176026
pu,1660870
gy,739903
ha,9893934
vt,839
ho,8448465
hk,7182724
hu,9939470
ic,315281
in,1220800359
id,251160124
ir,79853900
iz,31858481
ei,4775982
im,86159
is,7707042
it,61482297
jm,2909714
ja,127253075
je,95732
jo,6482081
kz,17736896
ke,44037656
kr,103248
kn,24720407
ks,48955203
kv,1847708
ku,2695316
kg,5548042
la,6695166
lg,2178443
le,4131583
lt,1936181
li,3989703
ly,6002347
ls,37009
lh,3515858
lu,514862
mc,583003
mk,2087171
ma,22599098
mi,16777547
my,29628392
mv,393988
ml,15968882
mt,411277
rm,69747
mr,3437610
mp,1322238
mx,116220947
fm,106104
md,3619925
mn,30500
mg,3226516
mj,653474
mh,5189
mo,32649130
mz,24096669
wa,2182852
nr,9434
np,30430267
nl,16805037
nc,264022
nz,4365113
nu,5788531
ng,16899327
ni,174507539
ne,1229
nf,2196
cq,51170
no,4722701
mu,3154134
pk,193238868
ps,21108
pm,3559408
pp,6431902
pa,6623252
pe,29849303
rp,105720644
pl,38383809
po,10799270
rq,3674209
qa,2042444
ro,21790479
rs,142500482
rw,12012589
tb,7298
sh,7754
sc,51134
st,162781
rn,31264
sb,5774
vc,103220
ws,195476
sm,32448
tp,186817
sa,26939583
sg,13300410
ri,7243007
se,90846
sl,5612685
sn,5460302
lo,5488339
si,1992690
bp,597248
so,10251568
sf,48601098
od,11090104
sp,47370542
ce,21675648
su,34847910
ns,566846
sv,1921
wz,1403362
sw,9119423
sz,7996026
sy,22457336
tw,23299716
ti,7910041
tz,48261942
th,67448120
tt,1172390
to,7154237
tl,1353
tn,106322
td,1225225
ts,10835873
tu,80694485
tx,5113040
tk,47754
tv,10698
ug,34758809
up,44573205
ae,5473972
uk,63395574
us,316668567
uy,3324460
uz,28661637
nh,261565
ve,28459085
vm,92477857
vq,104737
wf,15507
we,2676740
wi,538811
ym,25408288
za,14222233
zi,13182908